NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
477.8,452.5,439.5,384.3,400.0
447.7,550.9,533.4,424.8,480.0
421.5,614.6,494.7,621.2,580.0
493.1,515.2,372.0,420.8,560.0
613.4,637.4,569.4,705.5,620.0
467.2,590.1,546.9,488.2,320.0
571.6,643.2,591.5,639.5,740.0
569.6,629.9,608.4,718.7,380.0
395.1,428.1,368.9,487.2,440.0
560.8,604.4,530.2,569.2,480.0
474.0,487.8,387.5,379.8,560.0
476.1,485.5,422.9,426.8,340.0
495.2,580.4,563.0,653.7,560.0
525.5,440.6,517.6,504.6,320.0
384.4,405.3,382.9,417.7,0.0
422.8,429.9,436.3,417.4,280.0
572.0,639.9,623.4,597.8,780.0
445.6,620.7,592.1,660.6,820.0
438.7,449.5,486.4,501.9,380.0
464.2,531.1,399.2,412.0,240.0
424.6,467.0,509.6,446.9,280.0
399.4,463.4,492.4,436.1,580.0
502.1,639.1,605.2,684.3,560.0
526.4,585.9,462.3,507.8,440.0
478.6,631.1,598.0,611.4,720.0
454.3,627.3,573.2,564.5,660.0
503.6,626.0,566.5,573.9,520.0
634.5,647.5,616.1,665.4,740.0
482.9,621.2,534.1,507.6,520.0
508.5,556.8,519.0,445.8,500.0
466.1,654.9,648.3,624.9,540.0
475.1,465.1,443.3,478.1,460.0
402.9,627.5,544.9,490.2,520.0
381.8,540.2,479.9,568.1,500.0
482.4,486.0,515.1,568.9,280.0
502.9,511.7,559.7,595.1,700.0
573.0,619.1,556.5,555.0,500.0
417.5,545.7,480.3,445.1,560.0
595.9,634.0,590.2,615.2,600.0
576.6,629.4,616.1,467.1,820.0
575.7,622.5,572.3,528.6,420.0
427.0,565.7,460.8,515.1,640.0
522.4,613.1,574.1,612.7,540.0
393.5,552.8,496.1,451.8,0.0
472.1,528.6,482.4,432.1,440.0
418.9,557.6,410.1,418.9,480.0
413.2,515.8,518.5,467.6,260.0
442.4,420.8,436.9,496.0,0.0
560.6,658.6,602.8,636.9,620.0
549.2,676.7,619.0,506.8,540.0
739.9,725.4,676.2,947.8,960.0
466.3,598.8,542.1,470.1,520.0
455.3,522.9,604.9,541.7,820.0
506.9,592.6,534.0,538.1,620.0
566.4,666.8,588.0,710.0,800.0
576.3,618.5,493.2,399.3,480.0
526.1,437.9,444.2,429.5,460.0
451.7,452.8,502.9,533.3,460.0
463.3,556.5,401.0,423.8,700.0
444.9,564.8,512.1,445.2,480.0
622.6,639.5,605.5,660.1,920.0
533.8,620.2,551.8,438.1,480.0
475.9,529.0,525.5,497.9,540.0
525.8,632.0,605.0,411.8,620.0
452.1,587.5,509.5,594.2,300.0
490.2,472.6,508.1,566.6,360.0
596.1,595.7,597.6,683.9,800.0
398.4,416.7,386.4,404.9,440.0
605.0,658.2,664.0,777.3,720.0
508.8,614.4,582.8,447.9,680.0
537.6,601.3,587.5,581.5,640.0
409.8,453.9,403.6,499.8,360.0
459.8,405.8,444.6,478.7,320.0
505.7,636.8,591.1,587.5,680.0
534.5,617.5,485.8,416.6,680.0
452.9,602.8,576.0,474.6,660.0
482.6,634.3,608.7,551.6,520.0
421.1,580.4,541.1,679.5,340.0
585.1,686.3,610.0,692.1,640.0
516.9,601.9,447.6,547.1,380.0
606.4,648.6,626.4,715.5,940.0
435.0,603.0,556.1,527.9,540.0
407.4,493.9,386.4,391.2,520.0
542.9,629.8,588.2,704.0,420.0
439.2,517.3,523.5,456.1,340.0
465.1,501.6,385.4,515.6,320.0
410.2,575.1,474.9,429.8,600.0
424.6,424.6,424.9,549.3,260.0
482.8,476.7,553.1,590.1,280.0
448.2,603.6,540.6,611.0,360.0
486.6,629.8,513.1,470.6,820.0
373.0,567.4,493.4,523.1,260.0
410.3,527.4,482.0,419.8,560.0
435.4,462.7,552.7,425.1,740.0
653.9,676.6,640.4,750.4,880.0
427.9,457.8,503.3,544.2,500.0
386.8,594.3,463.1,624.5,560.0
390.2,513.6,510.8,470.4,300.0
451.5,396.7,474.6,434.3,600.0
458.8,469.1,534.3,451.7,440.0
420.7,510.3,522.9,388.3,360.0
490.2,651.1,553.2,522.3,280.0
418.6,553.6,361.6,438.9,300.0
503.3,612.2,598.8,514.3,660.0
416.2,608.4,598.7,514.2,620.0
623.6,670.3,645.5,654.2,800.0
624.6,669.3,653.0,561.8,760.0
388.6,515.7,480.0,424.1,320.0
705.8,726.7,613.0,819.4,740.0
629.8,621.1,587.3,522.2,700.0
549.7,610.2,531.5,525.4,680.0
373.0,433.3,492.1,420.5,560.0
602.3,639.5,556.6,589.1,680.0
738.7,755.3,643.5,867.7,960.0
431.3,569.7,468.2,437.6,360.0
684.9,687.1,656.8,789.6,920.0
478.1,595.4,466.6,496.6,540.0
389.8,560.7,430.5,582.8,340.0
540.6,584.9,512.8,624.3,380.0
432.6,427.8,455.9,405.1,300.0
477.8,633.7,534.5,656.8,600.0
468.0,532.0,487.5,525.7,820.0
441.3,597.5,480.3,555.6,600.0
499.7,598.3,554.6,563.7,500.0
529.5,658.6,631.4,703.2,440.0
421.8,509.1,522.6,398.9,360.0
442.9,466.0,416.2,473.3,500.0
501.9,474.2,501.2,566.4,340.0
426.9,467.7,364.7,453.1,360.0
449.4,570.7,374.1,602.2,300.0
629.3,701.9,639.2,755.7,660.0
570.9,635.7,636.6,702.6,900.0
453.5,510.8,539.3,421.7,680.0
395.9,584.9,485.0,420.9,360.0
470.2,632.4,601.4,602.6,760.0
514.9,524.6,450.1,391.9,600.0
494.0,639.4,607.4,547.3,680.0
606.0,640.3,637.1,607.8,720.0
416.1,544.3,578.0,538.9,320.0
547.2,613.0,596.6,526.1,580.0
510.8,526.1,474.1,541.0,480.0
540.8,570.0,399.9,627.3,640.0
497.0,489.9,487.8,435.4,360.0
401.5,507.3,418.5,559.1,0.0
573.6,659.5,565.5,439.6,900.0
393.7,509.9,462.0,472.5,320.0
558.4,617.4,554.1,460.7,580.0
446.8,536.6,535.9,631.7,400.0
587.7,686.7,595.7,704.8,760.0
408.6,470.7,520.9,481.5,620.0
564.5,609.1,596.7,611.8,640.0
550.0,679.1,644.2,599.5,900.0
483.1,650.8,561.2,581.3,620.0
398.0,605.8,586.1,569.8,540.0
480.6,550.1,515.6,465.0,680.0
555.3,621.9,545.8,489.9,520.0
527.4,622.0,600.5,637.2,740.0
433.6,564.5,529.4,443.9,360.0
531.4,536.6,417.7,404.1,340.0
631.0,649.2,601.4,636.1,880.0
425.9,577.6,517.7,417.2,360.0
420.5,559.4,435.7,469.9,540.0
639.3,695.0,672.6,758.1,960.0
441.9,639.7,615.1,542.5,480.0
707.6,691.5,547.0,805.6,880.0
460.9,579.1,504.8,443.4,740.0
374.7,410.8,400.8,432.7,320.0
705.2,671.7,653.7,661.5,820.0
418.2,524.0,456.7,544.8,560.0
541.1,593.5,576.7,472.6,440.0
635.3,664.4,600.5,813.8,840.0
483.4,662.2,550.2,692.2,640.0
446.4,633.6,539.1,532.8,520.0
502.8,435.2,421.5,612.4,540.0
440.7,529.9,505.7,659.9,260.0
537.4,649.4,573.2,580.1,920.0
525.1,589.3,558.6,581.8,500.0
383.8,465.5,466.9,441.3,320.0
458.5,558.4,456.9,511.7,260.0
566.1,668.7,583.6,591.7,580.0
507.6,521.7,509.4,546.3,340.0
416.0,540.2,564.1,431.9,760.0
536.3,644.0,585.8,509.5,620.0
432.9,660.0,562.6,512.5,640.0
466.6,596.2,551.5,452.3,440.0
595.1,668.3,615.0,562.1,740.0
563.0,521.4,490.8,443.2,400.0
499.6,638.0,624.5,562.3,600.0
504.9,665.2,571.0,576.3,880.0
620.6,631.7,629.3,726.5,940.0
475.2,602.3,594.2,654.2,620.0
492.5,600.8,559.9,653.2,840.0
459.4,636.5,557.1,735.5,760.0
495.7,659.9,633.3,738.0,580.0
431.2,539.2,508.9,555.6,460.0
609.4,683.9,630.8,698.0,680.0
420.1,626.6,594.3,485.1,380.0
589.9,588.6,540.7,508.2,680.0
446.2,499.5,500.9,422.8,260.0
525.0,578.0,572.0,587.3,820.0
483.2,608.2,579.6,426.6,560.0
499.8,583.5,484.6,458.3,600.0
526.5,596.5,599.5,546.6,660.0
580.9,623.5,577.0,713.8,900.0
437.8,404.2,474.7,436.1,300.0
429.7,570.2,391.4,504.2,300.0
431.1,609.4,538.6,488.7,600.0
389.3,509.7,518.1,433.1,300.0
420.0,526.5,446.7,383.9,240.0
688.6,692.8,608.0,676.4,800.0
393.4,558.6,433.2,454.8,320.0
559.1,491.3,571.8,557.3,580.0
474.4,516.2,435.3,424.0,640.0
569.3,600.0,586.2,408.3,840.0
468.2,510.8,468.8,398.1,260.0
427.9,579.4,461.1,491.0,380.0
566.3,650.6,599.0,575.5,860.0
480.9,663.3,588.1,629.2,640.0
556.4,637.3,588.5,503.0,520.0
646.4,715.8,677.1,801.7,880.0
671.3,664.1,660.9,755.4,740.0
486.9,538.1,441.5,373.7,520.0
386.4,437.7,416.6,394.4,300.0
535.7,511.5,518.6,501.6,520.0
470.9,571.1,394.9,418.9,280.0
606.8,667.2,659.3,699.5,840.0
574.4,662.3,557.3,735.9,620.0
431.5,435.5,385.9,492.9,320.0
428.0,553.2,427.5,463.1,360.0
533.5,649.5,544.7,469.4,480.0
403.7,490.4,415.7,410.6,0.0
473.3,568.2,502.3,455.6,360.0
413.1,407.9,483.7,413.6,400.0
452.1,600.3,572.2,451.8,640.0
462.5,473.7,514.6,431.3,640.0
373.3,483.4,357.8,485.8,0.0
439.7,516.6,535.3,486.0,600.0
576.9,630.9,627.1,528.7,620.0
407.2,517.4,457.7,487.5,540.0
530.8,625.9,643.4,552.9,640.0
523.7,533.7,454.2,650.9,520.0
504.7,525.9,532.0,465.3,340.0
518.0,631.2,551.8,621.4,500.0
374.4,623.6,553.4,487.3,360.0
532.1,593.9,597.7,540.7,600.0
392.4,481.7,549.8,570.2,360.0
501.2,634.8,452.0,548.2,340.0
435.1,605.5,555.9,440.8,680.0
457.5,545.5,411.7,387.6,360.0
509.2,481.9,408.6,532.7,540.0
517.8,567.6,567.1,520.4,600.0
451.6,567.5,514.9,606.0,360.0
425.7,549.4,401.1,504.8,340.0
367.8,526.4,509.2,625.4,540.0
685.9,712.0,687.7,663.6,940.0
467.7,597.1,497.0,373.3,580.0
435.6,641.6,612.3,750.8,780.0
367.5,493.1,521.8,453.9,340.0
395.2,462.5,553.3,620.9,320.0
601.6,655.9,594.6,692.7,600.0
479.0,593.4,533.6,611.6,560.0
573.6,614.6,484.5,647.1,560.0
408.3,546.5,534.6,573.5,680.0
435.4,540.0,489.1,473.0,580.0
419.5,610.5,475.2,506.0,340.0
535.4,609.8,541.6,487.2,340.0
495.0,638.9,552.6,546.6,620.0
446.1,452.6,432.4,397.9,300.0
449.9,568.1,535.1,394.8,360.0
389.8,557.8,540.0,398.6,440.0
536.2,652.2,593.6,535.9,720.0
532.3,589.6,543.4,485.0,640.0
578.5,558.0,579.7,638.7,600.0
459.4,435.0,405.1,454.7,580.0
517.1,490.8,497.1,541.1,620.0
553.0,594.0,544.8,616.9,740.0
400.2,590.2,519.4,583.0,660.0
441.3,572.1,545.3,524.3,380.0
526.8,562.8,558.0,665.4,560.0
429.8,603.4,444.3,588.7,0.0
670.6,670.0,676.4,696.3,620.0
525.9,540.1,574.8,483.1,620.0
444.3,496.1,496.1,371.9,280.0
441.4,543.3,485.7,511.8,300.0
546.8,642.9,599.9,518.2,500.0
501.5,616.2,555.5,541.0,520.0
442.9,432.1,491.0,532.1,620.0
542.8,634.2,586.7,727.5,860.0
506.0,606.5,505.6,503.1,620.0
428.0,563.9,475.3,515.6,420.0
411.5,601.3,570.4,409.1,660.0
452.2,582.4,536.1,401.6,540.0
461.9,592.3,516.3,698.9,380.0
406.3,473.4,442.9,460.0,380.0
504.4,603.6,566.6,446.7,560.0
458.4,563.1,488.7,551.7,560.0
567.5,674.8,639.0,775.7,760.0
471.3,613.3,539.7,430.8,520.0
559.5,656.9,572.2,468.0,880.0
529.5,577.9,523.4,453.5,520.0
613.4,643.7,523.9,537.6,640.0
477.0,502.3,510.9,558.4,600.0
490.3,583.9,425.6,444.0,580.0
434.7,643.8,582.1,518.3,580.0
592.0,689.1,626.9,675.5,560.0
634.8,688.7,605.3,584.0,840.0
556.9,493.2,578.3,432.6,720.0
501.9,579.4,551.5,504.9,340.0
417.9,628.5,502.5,520.9,740.0
419.3,401.3,466.8,384.7,400.0
491.4,467.3,544.2,423.4,340.0
494.6,593.0,525.3,492.3,600.0
577.8,684.4,666.4,644.1,700.0
443.7,505.5,398.8,447.9,440.0
462.4,495.8,515.2,526.4,460.0
608.8,675.9,628.6,628.4,720.0
477.9,604.5,545.4,494.7,280.0
441.9,582.5,425.0,509.7,500.0
437.4,570.3,440.9,495.7,580.0
545.0,655.7,609.6,638.1,640.0
613.9,655.4,607.4,382.3,700.0
418.7,455.3,492.6,511.0,520.0
464.8,644.9,610.7,528.4,720.0
443.0,479.2,428.2,372.3,340.0
500.8,553.1,521.5,433.6,640.0
441.6,562.9,455.3,537.3,300.0
566.0,496.3,540.9,403.1,760.0
490.5,452.7,471.6,497.3,460.0
503.7,588.9,578.6,714.6,420.0
404.0,515.4,534.3,559.9,380.0
382.4,510.0,498.0,463.7,220.0
575.2,685.6,617.7,504.1,760.0
405.8,453.7,495.0,403.8,380.0
448.7,439.2,475.6,424.3,500.0
414.2,436.1,407.2,392.2,280.0
388.3,588.3,491.8,479.4,360.0
516.9,590.4,582.5,398.5,760.0
534.5,519.3,538.3,543.2,280.0
509.1,607.1,544.1,560.8,480.0
560.7,607.4,534.4,448.6,540.0
420.0,596.6,540.1,526.9,560.0
517.5,579.0,529.2,570.1,600.0
493.7,592.9,521.7,452.6,300.0
439.3,572.8,491.7,583.6,720.0
449.8,570.4,491.2,472.1,300.0
530.9,596.3,599.2,460.8,720.0
465.2,435.9,472.8,716.7,540.0
515.5,492.5,592.8,528.3,680.0
419.8,548.1,392.0,412.9,360.0
520.4,656.9,466.7,449.4,460.0
393.1,484.1,555.9,588.0,380.0
513.4,454.7,531.6,380.0,280.0
560.2,609.3,574.0,478.6,760.0
542.5,635.7,577.2,423.5,500.0
521.0,641.2,606.5,640.0,740.0
410.4,404.9,380.7,502.6,360.0
589.3,694.9,593.9,483.4,680.0
537.7,475.8,518.9,622.9,600.0
487.8,463.5,430.4,405.8,360.0
464.9,450.3,460.4,456.9,380.0
513.1,622.6,531.0,685.8,520.0
549.3,542.1,583.4,580.4,720.0
398.7,540.3,462.0,412.3,380.0
397.8,481.7,429.3,471.7,420.0
564.1,664.1,616.9,566.3,760.0
548.7,615.0,519.6,673.5,280.0
483.3,517.5,438.8,432.6,560.0
374.7,545.1,384.5,400.4,500.0
537.2,610.6,557.3,628.4,780.0
711.8,688.6,704.3,762.4,780.0
583.2,476.7,537.4,543.2,800.0
600.4,640.4,546.1,542.5,720.0
488.4,617.2,580.5,523.8,580.0
438.0,648.8,522.3,496.4,620.0
521.9,434.5,502.6,549.8,400.0
559.5,607.3,491.1,601.2,600.0
482.9,497.7,617.5,610.4,620.0
581.2,543.7,449.2,439.4,500.0
556.0,619.7,518.2,555.8,600.0
497.2,577.5,544.8,715.2,520.0
627.3,644.8,625.7,690.4,680.0
468.4,465.1,403.6,471.2,580.0
588.8,632.2,615.5,434.3,900.0
435.7,478.2,470.5,520.6,280.0
570.3,606.1,582.5,686.4,420.0
515.4,604.2,586.6,412.0,760.0
517.8,653.4,643.5,613.1,760.0
661.4,667.1,640.4,802.9,960.0
484.6,600.8,516.1,477.1,320.0
566.6,652.0,580.6,461.7,600.0
400.7,439.0,480.6,455.0,240.0
479.7,465.9,501.3,564.0,500.0
675.4,695.5,666.9,734.6,940.0
622.5,707.7,631.5,690.6,700.0
472.6,599.4,571.5,520.6,600.0
586.4,623.1,575.9,623.0,840.0
552.8,652.2,595.6,619.2,540.0
511.6,654.1,600.5,633.1,500.0
615.0,694.9,604.7,658.8,740.0
547.6,662.0,598.4,565.3,580.0
526.8,594.1,476.6,474.0,580.0
441.5,497.4,491.7,424.0,380.0
460.0,602.8,540.6,554.1,360.0
579.4,629.8,560.4,554.1,520.0
444.7,490.1,484.4,498.7,320.0
577.4,591.4,559.7,587.8,620.0
509.3,608.5,514.7,509.8,380.0
462.0,626.0,599.9,495.6,520.0
468.0,490.6,456.6,473.9,320.0
490.1,576.3,455.8,484.7,540.0
414.9,598.8,540.1,556.4,360.0
452.5,455.9,463.7,462.1,600.0
484.8,587.4,520.0,659.0,860.0
479.3,588.2,513.1,684.8,340.0
485.1,587.7,622.9,440.5,560.0
490.3,642.5,565.1,419.5,440.0
525.9,650.5,592.7,566.9,720.0
425.4,555.3,528.9,455.2,520.0
619.0,633.6,631.6,658.6,760.0
642.7,610.8,611.4,698.8,720.0
399.0,497.1,551.5,531.0,360.0
527.0,637.6,638.2,628.2,580.0
502.3,530.3,383.3,668.8,560.0
562.8,667.5,610.1,546.8,620.0
555.8,597.1,544.3,563.3,360.0
483.7,632.4,528.0,475.9,340.0
618.4,635.9,559.8,587.6,320.0
567.2,626.4,569.9,528.5,600.0
395.6,512.6,492.7,475.4,560.0
543.2,632.4,542.2,590.0,700.0
443.6,441.7,478.8,464.4,0.0
639.0,687.7,621.2,580.2,780.0
605.3,668.0,602.3,680.8,760.0
453.6,526.3,493.6,589.7,380.0
549.9,650.4,584.1,586.4,660.0
555.1,664.2,639.1,482.4,700.0
516.8,606.5,595.8,660.7,680.0
399.8,517.2,479.4,419.8,540.0
559.6,570.4,522.5,559.1,500.0
370.6,559.0,369.7,374.3,360.0
553.0,605.0,580.3,447.4,400.0
508.7,597.9,533.9,400.0,580.0
572.5,561.0,616.4,695.8,700.0
590.1,665.6,618.3,594.2,860.0
591.2,670.7,622.8,771.5,720.0
479.9,466.5,511.4,426.6,440.0
607.3,675.2,633.1,671.8,760.0
572.3,546.9,501.8,518.4,600.0
615.8,688.6,616.1,662.9,860.0
394.9,532.9,428.3,492.2,320.0
418.4,419.5,429.7,599.1,320.0
631.8,664.7,611.8,682.3,640.0
509.5,528.9,576.3,418.9,500.0
495.6,463.8,586.1,581.0,560.0
397.5,508.7,532.3,697.5,600.0
413.8,593.0,445.1,458.1,360.0
470.4,538.1,549.3,549.3,560.0
437.0,605.0,536.4,526.2,380.0
446.1,521.5,471.9,407.4,440.0
547.7,685.1,629.1,415.0,760.0
536.5,627.1,539.8,643.3,540.0
449.6,612.4,540.9,515.6,600.0
490.6,558.6,483.5,570.7,0.0
475.3,604.8,530.9,467.0,480.0
480.8,551.0,479.9,446.9,420.0
712.0,672.5,644.4,742.5,820.0
427.1,570.9,480.6,456.8,360.0
527.8,626.8,566.9,502.2,640.0
483.4,572.7,580.7,524.3,600.0
409.3,473.4,457.9,444.9,500.0
381.4,559.4,476.2,389.0,400.0
444.9,493.7,520.8,572.6,0.0
526.3,612.8,613.6,637.5,560.0
481.1,615.2,594.0,547.7,760.0
377.8,560.4,538.6,462.5,300.0
464.8,436.4,436.4,458.1,620.0
523.6,526.2,536.2,541.1,600.0
414.4,564.7,450.9,503.3,340.0
572.7,627.4,594.2,525.4,620.0
521.7,602.3,499.1,664.9,560.0
402.3,531.2,480.0,396.0,360.0
491.5,609.9,576.1,542.2,400.0
472.5,630.2,566.7,519.1,460.0
431.7,577.8,460.1,435.5,320.0
646.3,658.3,620.2,748.6,860.0
556.2,658.4,575.9,689.6,640.0
476.8,617.8,545.0,473.2,640.0
383.0,478.5,440.1,421.1,200.0
411.7,486.4,471.3,523.7,400.0
516.8,663.6,575.5,649.1,720.0
499.6,593.4,575.6,463.6,400.0
565.7,630.6,597.4,542.9,700.0
518.0,641.4,564.8,455.7,540.0
530.1,474.8,442.9,465.6,300.0
520.3,541.8,435.2,437.6,680.0
409.3,627.1,575.6,660.9,740.0
504.5,618.0,571.9,428.7,340.0
527.5,469.1,560.8,600.9,640.0
558.1,639.7,555.2,680.6,680.0
575.9,575.4,614.5,661.8,400.0
687.2,689.3,663.9,848.0,800.0
412.2,426.9,461.1,461.7,520.0
381.6,413.4,548.5,379.5,360.0
513.5,561.9,520.0,452.9,360.0
493.3,644.3,567.1,675.0,600.0
539.7,398.6,522.1,564.7,740.0
484.4,596.8,542.4,542.0,580.0
406.9,513.7,397.0,482.8,500.0
458.8,609.7,538.7,611.1,360.0
500.2,429.5,472.5,462.1,380.0
432.5,562.5,524.0,472.8,400.0
495.5,647.9,512.6,646.9,780.0
518.8,430.8,395.3,402.4,360.0
578.6,669.4,620.7,581.2,720.0
552.1,644.6,609.0,692.8,600.0
466.9,524.6,429.6,472.0,360.0
422.5,579.8,483.4,481.3,360.0
776.8,747.4,663.7,913.5,920.0
530.3,634.5,561.7,663.5,540.0
576.9,651.7,623.8,594.2,600.0
506.9,575.7,533.5,519.4,560.0
406.8,495.7,404.0,390.9,280.0
510.2,640.1,615.0,543.0,460.0
465.7,595.4,494.9,412.2,400.0
547.6,676.2,560.1,517.3,860.0
729.4,764.2,659.9,877.2,900.0
617.2,678.4,657.5,594.6,660.0
554.7,626.1,537.2,632.2,380.0
549.1,712.8,645.1,693.8,860.0
448.9,603.3,592.6,660.5,360.0
461.9,433.2,537.0,452.6,360.0
543.4,659.4,574.2,495.1,500.0
433.6,477.9,496.6,500.7,400.0
452.1,473.5,445.4,446.1,360.0
455.5,541.9,531.7,476.4,320.0
566.0,683.8,627.7,708.2,620.0
611.7,470.9,610.5,508.3,400.0
542.2,595.9,349.3,519.7,320.0
478.3,614.8,546.1,490.1,540.0
461.6,670.0,576.1,627.1,740.0
549.5,601.6,528.1,455.6,580.0
604.6,628.6,579.2,546.2,560.0
554.6,544.3,542.3,434.4,760.0
516.7,604.1,554.3,620.0,660.0
520.3,620.8,588.5,529.5,640.0
592.6,659.6,608.7,659.6,760.0
539.9,648.9,543.1,705.0,760.0
456.8,451.6,468.1,464.4,0.0
557.5,626.5,596.7,540.3,600.0
509.5,509.8,554.5,601.4,380.0
524.7,627.8,541.1,561.3,600.0
476.0,632.3,539.2,469.3,580.0
381.1,573.6,539.0,618.2,600.0
493.4,571.9,470.3,394.2,400.0
407.3,586.1,554.0,568.2,520.0
457.2,436.4,461.0,564.1,560.0
508.9,560.6,529.0,439.6,600.0
494.0,575.2,458.7,455.2,520.0
508.7,590.5,578.5,492.2,500.0
386.0,596.1,493.6,476.5,340.0
472.9,484.2,474.9,416.1,360.0
415.3,603.8,541.9,508.4,380.0
522.2,630.9,605.6,597.4,780.0
474.8,612.5,569.2,535.5,600.0
534.9,634.4,473.0,439.0,340.0
630.4,703.2,645.7,606.9,800.0
565.4,588.1,597.8,550.6,380.0
476.8,497.1,457.5,416.1,620.0
471.2,412.9,498.1,403.5,0.0
487.0,569.7,499.5,559.8,520.0
548.7,638.5,571.8,483.9,400.0
667.7,702.2,655.6,778.3,960.0
459.1,613.4,551.7,547.7,580.0
709.4,732.0,670.1,866.0,900.0
491.4,695.6,624.5,717.5,640.0
421.6,543.2,445.3,613.1,560.0
433.3,545.0,509.5,577.6,640.0
465.0,575.9,533.5,494.2,680.0
578.5,526.9,552.6,552.6,680.0
403.9,478.8,465.6,465.4,620.0
515.2,646.2,603.3,594.3,580.0
485.5,558.9,412.5,582.2,440.0
587.3,673.9,609.3,698.3,640.0
451.1,605.7,424.0,595.5,320.0
550.5,644.0,610.0,628.9,520.0
525.2,429.7,476.2,438.3,540.0
490.9,461.3,459.0,463.0,460.0
544.7,622.7,515.6,455.8,540.0
467.7,615.0,540.4,376.2,420.0
503.1,489.5,534.7,383.8,340.0
629.3,710.0,683.8,685.2,740.0
632.8,695.6,703.6,723.1,940.0
437.8,404.9,411.5,419.4,540.0
586.3,667.9,632.9,660.8,740.0
465.1,559.0,490.1,478.5,900.0
382.2,431.2,503.7,499.1,500.0
486.4,584.7,522.7,546.3,360.0
484.4,592.9,429.4,490.5,400.0
500.7,471.8,347.1,430.3,0.0
392.9,472.7,329.3,447.8,540.0
433.1,638.5,538.5,500.3,380.0
424.5,597.6,538.9,517.9,580.0
471.4,477.7,486.8,427.4,340.0
477.4,509.9,470.0,558.6,0.0
488.0,614.2,541.1,496.0,440.0
582.7,681.5,653.9,515.8,640.0
562.6,617.6,577.5,633.0,600.0
477.7,595.6,526.7,498.7,400.0
396.8,509.2,465.6,468.4,520.0
527.3,492.5,473.1,611.6,340.0
426.0,506.0,408.7,420.1,260.0
442.5,579.7,445.5,400.6,360.0
590.7,665.7,627.6,609.5,840.0
478.1,476.0,531.1,587.2,580.0
462.7,476.0,494.2,603.2,380.0
477.5,560.1,550.2,475.9,620.0
541.0,492.7,547.6,660.7,480.0
503.0,602.8,601.4,728.4,800.0
421.2,515.2,461.0,435.1,360.0
470.2,611.0,507.4,416.8,500.0
489.5,643.9,652.7,672.2,720.0
474.9,510.6,518.9,469.5,800.0
548.8,524.6,569.9,562.4,540.0
547.4,650.3,604.6,663.2,540.0
492.1,582.8,577.3,585.1,800.0
509.0,610.4,496.0,441.9,760.0
528.4,438.3,489.8,390.4,560.0
650.3,658.1,661.1,651.7,900.0
482.6,600.6,581.8,525.4,700.0
482.7,633.4,620.1,389.7,640.0
529.9,598.2,541.7,545.5,400.0
494.1,442.2,583.5,502.5,440.0
447.7,430.6,332.9,424.7,440.0
383.4,520.5,422.7,369.9,320.0
541.3,635.0,599.1,496.4,640.0
451.4,554.9,517.3,465.3,480.0
535.7,587.5,531.3,539.3,420.0
534.3,626.6,633.0,498.5,640.0
429.6,574.3,551.5,463.3,440.0
579.0,640.7,521.1,653.1,640.0
526.4,617.1,527.3,686.8,360.0
369.8,567.5,492.2,469.6,260.0
514.7,598.0,519.7,475.3,340.0
449.1,545.6,559.3,441.8,720.0
449.0,603.3,562.2,449.3,600.0
541.6,620.6,591.0,673.1,720.0
