ID,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_MT,NU_NOTA_REDACAO
113,369.8,568.3,526.0,520.0
114,467.3,525.7,583.6,900.0
115,534.1,626.0,576.5,580.0
116,394.4,579.9,445.1,0.0
117,410.7,599.3,580.3,600.0
118,448.7,556.8,410.3,360.0
119,547.4,623.4,618.7,720.0
120,439.3,476.5,445.1,160.0
121,444.6,529.3,496.5,380.0
122,575.7,620.9,612.5,800.0
123,416.1,514.8,467.6,320.0
124,438.7,457.7,491.9,660.0
125,442.6,508.6,417.2,460.0
126,475.0,419.2,566.6,320.0
127,455.5,542.7,395.7,360.0
128,648.0,702.1,762.9,660.0
129,396.1,573.9,574.3,320.0
130,372.3,408.0,447.5,0.0
131,418.4,457.6,443.3,540.0
132,463.7,620.8,501.9,360.0
133,428.3,559.8,412.4,0.0
134,547.8,599.0,740.4,740.0
135,557.4,573.2,559.7,620.0
136,463.0,505.4,404.7,540.0
137,439.0,592.4,504.9,500.0
138,471.4,596.8,531.6,820.0
139,443.4,461.7,527.6,560.0
140,433.2,541.3,554.2,580.0
141,438.8,515.7,551.0,420.0
142,436.5,426.1,489.4,320.0
143,577.2,589.0,586.6,700.0
144,389.8,449.1,481.9,480.0
145,470.8,429.2,443.9,300.0
146,460.5,617.4,449.3,400.0
147,420.8,640.3,669.7,580.0
148,495.2,662.2,586.4,680.0
149,648.6,716.9,717.1,500.0
150,510.5,463.4,544.8,560.0
151,553.6,651.2,539.9,460.0
152,368.7,559.9,400.3,0.0
153,470.2,601.8,427.6,380.0
154,576.0,673.4,626.1,920.0
155,484.9,606.7,465.7,360.0
156,495.7,569.8,498.0,340.0
157,591.2,646.9,528.7,540.0
158,444.5,424.1,446.9,320.0
159,445.6,584.6,462.0,280.0
160,465.0,456.8,539.6,360.0
161,448.0,599.3,500.3,560.0
162,559.7,631.1,520.9,0.0
163,501.1,401.2,407.7,500.0
164,368.8,518.9,526.9,360.0
165,446.4,405.5,434.3,300.0
166,490.5,646.9,428.6,940.0
167,506.2,573.8,514.3,480.0
168,393.0,515.4,397.0,0.0
169,477.6,554.9,578.5,420.0
170,420.8,458.1,449.0,360.0
171,452.5,470.2,469.9,320.0
172,435.2,591.7,631.6,480.0
173,635.9,664.3,617.0,940.0
174,537.9,605.0,540.7,540.0
175,473.1,575.8,449.8,440.0
176,463.3,589.2,449.9,560.0
177,434.1,594.9,535.3,600.0
178,498.1,602.9,402.6,440.0
179,543.2,637.2,574.0,520.0
180,459.3,653.7,380.7,580.0
181,629.9,710.5,670.3,860.0
182,560.7,518.9,409.0,480.0
183,454.5,444.0,563.8,280.0
184,635.4,695.4,735.8,720.0
185,503.8,403.3,435.1,400.0
186,557.0,593.1,595.2,320.0
187,444.5,577.2,456.4,560.0
188,485.3,573.0,458.1,520.0
189,407.2,584.7,549.9,320.0
190,388.2,548.3,462.6,400.0
191,508.9,481.6,467.6,480.0
192,518.8,609.3,458.8,560.0
193,559.8,582.9,512.9,760.0
194,513.4,537.2,508.3,580.0
195,526.6,600.2,563.0,820.0
196,539.0,549.1,421.8,320.0
197,542.6,651.2,579.5,620.0
198,393.1,532.5,608.0,580.0
199,464.5,592.1,515.5,340.0
200,416.1,570.6,510.2,380.0
201,463.0,612.4,671.5,360.0
202,502.2,629.6,642.7,720.0
203,492.3,622.8,629.4,600.0
204,437.4,589.5,443.3,600.0
205,528.6,610.2,490.1,560.0
206,625.8,664.7,744.0,820.0
207,473.3,624.4,507.9,560.0
208,442.3,530.1,519.6,300.0
209,387.5,534.3,444.2,400.0
210,530.6,650.2,662.7,840.0
211,415.7,635.6,569.9,420.0
212,526.9,620.9,543.7,480.0
213,412.1,511.7,513.6,640.0
214,490.0,586.3,401.8,620.0
215,463.5,588.1,443.6,500.0
216,478.5,593.3,642.7,600.0
217,457.1,582.0,479.1,520.0
218,535.4,677.6,512.8,620.0
219,467.5,426.8,480.1,400.0
220,651.8,669.7,588.9,720.0
221,501.1,587.3,455.9,500.0
222,538.5,633.0,678.3,500.0
223,420.4,458.4,457.9,540.0
224,516.6,610.6,604.0,680.0
225,474.4,494.5,463.1,660.0
226,627.8,654.8,646.4,580.0
227,391.2,421.4,433.4,560.0
228,462.9,431.9,434.9,560.0
229,486.0,532.0,396.4,420.0
230,637.8,631.0,701.5,880.0
231,442.1,606.6,477.9,600.0
232,510.3,617.2,462.9,380.0
233,404.9,497.7,453.1,320.0
234,467.0,532.3,599.6,680.0
235,554.6,653.0,646.0,680.0
236,426.0,531.5,525.9,480.0
237,429.2,537.9,573.0,520.0
238,393.1,494.1,481.2,320.0
239,547.3,625.3,530.7,520.0
240,451.7,495.7,449.7,480.0
241,437.2,527.1,501.9,380.0
242,404.6,587.2,390.0,540.0
243,578.8,611.6,648.7,600.0
244,718.6,754.8,853.0,920.0
245,477.6,593.6,460.8,360.0
246,495.4,620.3,660.2,480.0
247,498.6,445.9,622.7,580.0
248,482.2,592.9,548.0,420.0
249,417.5,605.5,526.2,520.0
250,424.7,582.6,599.6,540.0
251,649.4,658.2,777.7,960.0
252,468.2,564.2,447.1,520.0
253,610.2,706.1,723.1,860.0
254,411.1,536.5,444.0,520.0
255,555.9,626.7,517.1,500.0
256,566.9,664.9,730.6,440.0
257,513.5,578.0,519.4,360.0
258,532.0,631.6,443.1,660.0
259,423.1,505.7,735.2,720.0
260,564.0,653.9,709.9,680.0
261,450.0,608.9,493.6,720.0
262,525.3,503.1,630.4,680.0
263,654.9,665.8,755.3,800.0
264,524.6,651.8,669.9,360.0
265,470.0,613.0,507.7,440.0
266,482.7,410.0,600.1,360.0
267,407.5,449.7,503.0,300.0
268,467.9,556.5,387.6,540.0
269,667.5,685.4,859.3,780.0
270,487.3,422.2,435.3,620.0
271,432.5,545.0,485.5,720.0
272,647.8,743.5,841.4,920.0
273,590.0,667.8,591.0,560.0
274,454.8,569.1,481.7,360.0
275,386.4,544.9,463.6,380.0
276,411.5,469.1,484.4,500.0
277,471.8,583.3,589.0,840.0
278,535.0,652.7,444.1,320.0
279,397.5,560.9,574.4,360.0
280,463.8,650.9,787.5,560.0
281,510.1,643.0,664.6,920.0
282,563.8,504.4,627.8,580.0
283,456.2,563.8,384.8,360.0
284,492.9,439.3,419.0,280.0
285,456.0,598.5,488.7,520.0
286,470.4,604.0,649.5,820.0
287,552.9,701.3,624.8,460.0
288,512.1,450.4,647.8,720.0
289,482.5,585.5,592.5,420.0
290,612.0,668.7,593.6,920.0
291,490.7,534.9,604.7,480.0
292,543.9,613.0,547.9,360.0
293,473.5,614.3,465.2,680.0
294,393.5,616.3,572.6,400.0
295,452.0,480.8,534.5,600.0
296,580.5,606.9,595.0,640.0
297,502.6,431.6,428.6,600.0
298,422.5,557.8,508.6,360.0
299,576.5,669.1,663.0,900.0
300,546.4,612.3,489.0,380.0
301,519.9,667.3,706.1,700.0
302,559.7,676.2,634.8,800.0
303,495.6,609.1,472.0,620.0
304,393.0,454.7,501.0,460.0
305,562.4,407.1,511.7,240.0
306,487.3,640.3,421.1,780.0
307,628.8,686.2,708.0,600.0
308,490.2,618.5,559.9,540.0
309,507.6,609.6,437.2,700.0
310,554.7,669.2,394.6,900.0
311,483.9,644.3,600.0,540.0
312,449.7,467.8,425.4,560.0
313,506.2,501.2,593.7,540.0
314,587.2,675.5,652.1,700.0
315,449.1,566.7,516.0,520.0
316,579.3,584.8,563.0,640.0
317,423.1,557.9,491.4,460.0
318,527.5,479.7,538.0,300.0
319,578.6,625.0,564.1,780.0
320,474.8,486.4,443.7,480.0
321,499.4,580.5,489.4,560.0
322,481.6,602.1,385.8,520.0
323,526.7,595.2,385.7,700.0
324,403.4,515.7,568.2,360.0
325,417.1,449.7,384.4,480.0
326,575.0,587.0,573.9,480.0
327,412.7,521.5,596.7,560.0
328,424.5,637.0,493.8,580.0
329,425.5,505.1,486.1,480.0
330,527.8,482.8,499.5,520.0
331,506.2,591.9,435.2,440.0
332,457.1,516.9,550.4,560.0
333,532.5,671.0,654.5,580.0
334,649.1,663.7,756.3,660.0
335,414.2,617.1,406.5,420.0
336,417.0,577.4,520.9,580.0
337,489.4,598.3,401.7,500.0
338,394.5,497.6,437.8,480.0
339,500.7,644.5,565.6,520.0
340,519.7,465.6,521.0,420.0
341,582.1,632.3,618.5,560.0
342,561.6,601.5,390.1,360.0
343,574.2,552.1,506.1,360.0
344,509.1,592.3,623.6,840.0
345,493.4,564.7,631.7,540.0
346,453.3,532.5,503.9,540.0
347,425.8,587.4,456.4,800.0
348,451.7,582.8,601.5,640.0
349,469.1,611.9,505.1,560.0
350,629.8,645.5,669.3,780.0
351,492.1,600.4,393.1,240.0
352,584.7,637.0,543.8,900.0
353,546.2,586.3,499.4,320.0
354,617.9,678.4,736.8,980.0
355,633.9,604.5,815.0,680.0
356,413.6,653.8,479.8,640.0
357,523.3,595.5,555.6,400.0
358,517.3,676.7,704.9,740.0
359,603.9,718.7,708.8,860.0
360,482.6,534.6,548.3,600.0
361,474.7,501.8,547.3,480.0
362,394.1,515.5,425.5,360.0
363,498.0,638.7,448.0,360.0
364,645.0,686.8,721.1,840.0
365,558.5,608.3,644.4,580.0
366,448.5,617.1,504.5,760.0
367,478.7,617.0,406.6,560.0
368,500.6,644.5,739.7,420.0
369,491.8,608.8,649.8,480.0
370,463.1,604.4,499.3,560.0
371,557.7,593.0,590.4,440.0
372,426.8,618.8,513.3,660.0
373,462.4,491.2,385.5,380.0
374,465.9,455.4,506.9,340.0
375,579.7,479.0,580.1,320.0
376,489.4,609.7,504.1,420.0
377,376.5,495.2,438.4,340.0
378,490.1,547.9,587.8,560.0
379,420.3,482.4,397.0,260.0
380,393.0,476.0,489.5,520.0
381,429.8,599.3,435.6,580.0
382,459.4,547.8,391.9,360.0
383,664.8,687.1,744.3,980.0
384,435.6,416.2,470.5,340.0
385,414.3,633.8,414.2,640.0
386,647.8,684.1,778.5,800.0
387,445.9,606.2,464.9,400.0
388,525.6,642.0,513.8,640.0
389,377.3,519.3,541.1,360.0
390,566.4,633.1,493.4,480.0
391,558.2,629.1,450.9,780.0
392,444.9,579.2,520.6,360.0
393,417.8,460.2,383.0,0.0
394,544.1,618.1,494.6,860.0
395,690.3,702.1,734.1,940.0
396,466.9,571.5,548.9,480.0
397,422.0,533.2,623.8,340.0
398,532.3,591.4,623.6,760.0
399,366.0,610.1,444.9,300.0
400,448.8,450.1,431.6,0.0
401,523.4,615.9,513.2,540.0
402,499.8,530.9,525.1,500.0
403,422.5,512.4,397.0,600.0
404,467.2,575.6,392.9,360.0
405,425.6,431.7,411.9,580.0
406,482.7,494.2,479.6,620.0
407,443.3,576.1,579.3,320.0
408,415.2,622.4,432.2,620.0
409,602.2,661.6,575.3,640.0
410,527.7,620.4,524.8,500.0
411,397.0,502.6,472.3,520.0
412,647.4,689.4,792.7,920.0
413,530.2,658.8,532.8,920.0
414,431.3,608.7,555.1,540.0
415,557.1,675.6,655.6,720.0
416,472.5,558.6,441.8,420.0
417,522.6,569.6,420.9,560.0
418,404.3,595.2,458.1,280.0
419,456.3,503.0,393.5,260.0
420,471.7,583.2,431.5,300.0
421,490.1,616.0,519.0,480.0
422,665.5,715.0,802.5,860.0
423,505.7,623.3,537.2,560.0
424,512.5,664.3,438.9,640.0
425,440.7,537.6,471.0,560.0
426,661.4,676.5,711.3,920.0
427,442.5,421.3,472.1,0.0
428,608.4,652.3,528.3,580.0
429,548.1,558.9,512.5,620.0
430,420.0,512.6,438.6,480.0
431,560.7,657.1,637.7,760.0
432,490.3,545.0,645.6,320.0
433,556.6,597.2,381.8,340.0
434,477.1,441.6,393.1,580.0
435,482.8,590.5,400.6,400.0
436,426.2,598.1,452.0,560.0
437,468.8,527.6,441.6,300.0
438,459.9,585.1,725.1,700.0
439,470.3,537.4,513.1,580.0
440,404.5,512.4,486.1,420.0
441,425.8,564.0,387.9,380.0
442,436.8,562.7,535.2,440.0
443,735.5,751.2,785.9,980.0
444,540.8,636.1,458.0,560.0
445,604.0,676.2,682.9,760.0
446,388.7,505.9,380.7,520.0
447,395.7,437.2,427.5,260.0
448,546.5,642.0,530.8,800.0
449,480.5,641.6,493.1,520.0
450,398.1,439.5,443.8,420.0
451,552.8,637.2,597.6,640.0
452,369.1,473.0,437.1,320.0
453,579.6,647.3,656.0,720.0
454,562.3,572.6,657.7,580.0
455,455.7,611.4,516.4,640.0
456,543.0,643.7,430.1,600.0
457,511.0,583.6,471.8,640.0
458,426.0,582.8,476.5,340.0
459,452.9,593.2,534.8,640.0
460,605.1,452.5,619.1,640.0
461,480.2,544.6,546.6,360.0
462,439.0,661.3,516.8,660.0
463,522.1,583.1,567.9,360.0
464,602.0,654.9,683.5,560.0
465,508.6,652.3,574.5,520.0
466,441.9,444.0,403.3,300.0
467,391.2,465.3,432.3,400.0
468,548.5,600.7,556.5,500.0
469,540.2,616.9,662.9,440.0
470,498.6,571.0,468.1,580.0
471,560.5,431.9,518.1,380.0
472,434.0,570.9,526.2,360.0
473,515.4,570.9,582.0,500.0
474,517.5,588.5,513.4,640.0
475,409.7,531.4,383.3,380.0
476,599.0,653.8,736.8,820.0
477,497.8,568.0,430.7,600.0
478,552.5,568.1,581.0,580.0
479,436.1,573.5,548.3,400.0
480,436.0,576.3,525.3,280.0
481,521.8,632.9,595.7,720.0
482,525.4,600.4,629.7,480.0
483,504.6,603.8,420.7,360.0
484,432.2,424.9,473.9,600.0
485,532.9,415.7,580.9,340.0
486,373.6,583.1,511.8,400.0
487,376.4,603.9,602.6,640.0
488,480.3,595.0,457.4,700.0
489,389.8,453.3,453.4,300.0
490,544.5,608.8,519.4,560.0
491,440.2,446.8,471.7,280.0
492,738.4,708.0,724.1,840.0
493,417.4,580.9,504.3,280.0
494,504.0,619.7,486.7,540.0
495,538.8,648.8,497.4,820.0
496,433.2,429.9,431.0,520.0
497,431.3,655.1,499.1,780.0
498,515.9,541.4,440.8,280.0
499,460.5,483.3,417.7,560.0
500,447.7,611.9,466.2,560.0
501,423.1,488.6,451.1,280.0
502,502.5,626.6,479.1,780.0
503,481.0,650.1,563.5,360.0
504,424.4,555.2,494.9,300.0
505,463.0,522.3,550.3,520.0
506,421.5,576.8,559.8,440.0
507,438.5,583.5,464.3,320.0
508,509.5,593.1,425.3,360.0
509,693.2,678.9,818.0,920.0
510,612.0,654.1,663.1,660.0
511,595.7,724.2,462.9,920.0
512,440.2,579.2,588.1,360.0
513,514.7,628.4,490.7,300.0
514,606.2,683.2,663.0,860.0
515,504.7,634.6,514.0,660.0
516,444.8,596.2,684.4,420.0
517,576.2,669.2,530.8,720.0
518,536.7,647.7,424.9,240.0
519,530.0,622.4,495.5,440.0
520,559.4,657.9,671.2,860.0
521,628.5,636.3,636.9,400.0
522,413.3,480.3,453.8,580.0
523,464.3,594.6,405.5,600.0
524,552.5,647.3,551.6,640.0
525,503.3,602.4,602.8,540.0
526,395.4,581.1,527.5,0.0
527,661.4,679.1,797.8,960.0
528,540.6,595.0,458.8,580.0
529,470.4,587.4,403.0,540.0
530,450.8,595.2,555.8,580.0
531,689.2,667.6,695.3,860.0
532,515.2,646.6,673.1,620.0
533,431.7,472.5,493.9,380.0
534,451.5,520.9,538.2,620.0
535,420.0,442.7,378.4,260.0
536,569.2,672.1,682.4,960.0
537,505.0,524.2,574.0,500.0
538,477.1,518.5,637.6,680.0
539,419.9,513.1,546.9,360.0
540,490.2,613.3,583.4,580.0
541,470.7,583.8,395.3,520.0
542,402.9,577.3,593.4,0.0
543,547.5,670.3,598.7,800.0
544,471.9,555.1,541.0,360.0
545,528.2,551.2,524.0,660.0
546,629.0,695.0,734.4,900.0
547,442.4,616.6,398.8,740.0
548,448.1,533.9,578.2,360.0
549,452.2,618.0,474.7,580.0
550,618.2,642.5,643.5,760.0
551,611.7,700.3,696.3,680.0
552,418.1,463.7,412.2,280.0
553,409.8,554.1,588.0,640.0
554,619.5,642.5,708.7,840.0
555,416.8,587.3,408.1,720.0
556,418.9,600.4,507.0,520.0
557,429.7,435.8,408.9,320.0
558,406.5,478.4,509.9,340.0
559,482.3,635.0,591.1,600.0
560,416.1,554.9,525.1,560.0
561,429.9,632.8,442.9,640.0
562,424.3,486.6,528.9,360.0
563,403.4,645.6,501.1,500.0
564,460.3,633.2,632.3,420.0
565,395.2,440.6,429.0,320.0
566,482.6,601.3,624.9,440.0
567,437.1,564.5,477.4,460.0
568,413.3,491.2,491.4,700.0
569,601.4,665.3,698.8,940.0
570,530.9,613.8,534.7,560.0
571,557.3,517.4,483.7,360.0
572,415.8,498.8,465.0,300.0
573,651.1,694.3,619.7,940.0
574,604.3,635.3,721.9,820.0
575,551.9,646.3,565.2,800.0
576,456.7,613.9,469.1,0.0
577,396.6,461.3,680.2,560.0
578,413.1,581.3,440.4,320.0
579,397.4,428.8,439.3,320.0
580,671.0,687.9,653.5,880.0
581,516.3,596.6,452.5,680.0
582,666.7,711.0,752.1,840.0
583,482.5,461.1,453.2,340.0
584,599.2,675.4,673.2,720.0
585,680.3,726.8,676.9,880.0
586,447.2,543.1,461.7,520.0
587,450.2,575.5,455.6,300.0
588,543.4,483.7,529.1,460.0
589,401.1,505.4,438.3,480.0
590,550.9,645.8,610.4,680.0
591,467.0,584.1,572.1,380.0
592,543.2,595.0,701.7,580.0
593,381.4,580.3,537.0,320.0
594,392.4,445.0,497.0,260.0
595,500.0,599.9,483.1,440.0
596,417.2,529.0,402.2,320.0
597,574.6,552.2,550.8,620.0
598,395.8,568.7,469.7,340.0
599,615.9,740.7,649.5,740.0
600,615.0,662.1,661.9,700.0
601,606.0,699.5,695.6,840.0
602,441.2,617.2,445.9,420.0
603,475.7,623.7,454.5,820.0
604,517.0,640.6,604.0,600.0
605,546.1,548.6,523.1,560.0
606,575.2,668.8,446.4,440.0
607,450.2,430.3,450.8,360.0
608,427.6,455.5,436.6,520.0
609,428.4,494.1,396.0,380.0
610,674.8,698.7,745.5,640.0
611,601.2,603.3,487.7,840.0
612,537.9,628.1,597.9,620.0
613,561.5,617.2,699.0,420.0
614,554.0,466.0,642.3,360.0
615,588.6,650.7,555.2,740.0
616,400.4,549.8,596.5,560.0
617,486.5,602.9,610.1,600.0
618,442.4,516.5,490.1,380.0
619,498.4,616.0,525.9,520.0
620,454.5,500.5,505.2,300.0
621,507.5,583.3,480.5,380.0
622,520.0,648.1,691.0,880.0
623,467.7,561.0,537.3,660.0
624,549.3,686.9,716.6,800.0
625,533.0,584.1,606.8,280.0
626,537.8,438.3,492.5,740.0
627,505.4,533.8,474.2,540.0
628,592.8,692.5,656.1,640.0
629,430.7,460.4,463.3,540.0
630,488.7,575.7,619.4,660.0
631,379.7,492.0,455.2,240.0
632,476.8,605.0,501.7,720.0
633,508.7,584.0,395.2,560.0
634,426.7,572.4,503.3,360.0
635,444.4,562.8,424.4,0.0
636,519.8,464.8,566.9,400.0
637,490.1,512.6,529.4,540.0
638,449.3,530.2,495.7,540.0
639,437.5,600.3,448.7,720.0
640,374.4,480.3,417.2,320.0
641,447.3,442.9,451.1,280.0
642,475.0,485.5,377.8,380.0
643,413.9,494.2,553.1,560.0
644,460.9,541.2,525.3,600.0
645,500.5,611.6,553.2,580.0
646,439.3,476.8,533.1,440.0
647,482.1,653.3,676.1,740.0
648,499.9,623.2,641.1,600.0
649,430.2,552.1,517.4,600.0
650,538.1,611.1,553.0,280.0
651,671.7,716.0,808.7,760.0
652,511.7,613.7,461.4,480.0
653,473.0,576.9,612.9,360.0
654,709.5,705.0,834.1,920.0
655,491.6,634.9,402.9,680.0
656,489.5,439.2,459.8,300.0
657,469.1,495.8,389.8,300.0
658,416.4,545.2,494.9,620.0
659,582.8,641.3,596.0,600.0
660,537.6,639.1,637.8,880.0
661,490.7,646.1,567.7,400.0
662,493.0,524.0,467.5,640.0
663,405.3,556.2,605.2,820.0
664,432.5,539.2,439.0,320.0
665,412.0,513.7,493.7,300.0
666,552.5,621.7,474.6,760.0
667,506.7,658.6,467.3,700.0
668,503.6,526.2,497.5,360.0
669,613.9,656.8,690.9,880.0
670,613.5,692.1,721.1,580.0
671,468.3,541.5,399.8,560.0
672,521.3,641.7,504.8,720.0
673,641.6,701.9,775.2,900.0
674,542.5,555.8,531.1,400.0
675,486.1,582.6,403.7,300.0
676,644.2,697.6,690.6,900.0
677,446.6,462.3,506.9,480.0
678,444.6,474.4,482.5,340.0
679,399.6,442.7,505.5,380.0
680,404.0,554.9,388.3,520.0
681,655.9,672.6,701.3,960.0
682,555.7,518.4,472.4,320.0
683,577.0,614.0,648.6,540.0
684,402.5,573.8,602.1,580.0
685,617.5,608.9,694.4,440.0
686,441.6,519.3,448.8,360.0
687,417.7,420.9,497.0,360.0
688,422.1,561.2,514.7,260.0
689,478.8,606.6,523.4,520.0
690,503.9,627.7,629.8,760.0
691,448.4,615.0,434.8,440.0
692,579.1,656.1,714.2,660.0
693,392.2,551.4,486.6,540.0
694,561.1,490.6,527.9,320.0
695,518.7,599.6,474.6,480.0
696,758.9,771.7,881.7,980.0
697,468.0,445.7,395.3,320.0
698,422.8,502.8,529.5,540.0
699,390.5,514.8,415.0,220.0
700,547.8,649.5,688.9,400.0
701,458.9,506.7,443.5,520.0
702,439.0,586.9,434.0,600.0
703,536.9,580.3,594.9,520.0
704,582.3,704.3,717.0,820.0
705,476.4,600.1,448.9,360.0
706,457.0,471.2,507.6,360.0
707,471.2,599.8,434.7,260.0
708,476.1,565.3,535.0,380.0
709,438.1,570.7,666.6,480.0
710,521.1,558.6,566.3,620.0
711,428.9,457.1,600.8,600.0
712,456.4,466.2,535.8,640.0
713,515.1,561.4,512.4,660.0
714,647.6,661.9,713.4,720.0
715,531.1,643.2,483.8,380.0
716,495.6,464.7,428.4,580.0
717,564.8,621.9,613.6,540.0
718,542.7,573.5,492.3,420.0
719,613.4,670.6,685.9,520.0
720,452.3,533.0,433.0,400.0
721,560.6,674.8,731.9,600.0
722,466.1,577.9,514.9,460.0
723,581.0,655.0,809.3,900.0
724,537.3,655.7,673.2,540.0
725,415.2,483.9,445.6,300.0
726,475.6,663.3,532.7,300.0
727,417.6,554.5,391.2,640.0
728,435.1,576.7,439.7,240.0
729,423.5,569.5,395.7,440.0
730,524.9,605.6,688.0,680.0
731,424.5,490.8,390.2,620.0
732,408.6,562.7,547.1,520.0
733,476.9,548.6,391.1,580.0
734,505.6,573.9,550.0,340.0
735,518.0,647.1,650.0,560.0
736,415.4,507.9,492.6,520.0
737,507.3,656.0,500.6,880.0
738,559.8,514.8,550.7,600.0
739,371.3,522.9,500.2,580.0
740,518.8,471.6,479.5,500.0
741,491.9,625.1,435.7,600.0
742,430.5,426.2,424.8,300.0
743,487.3,453.0,421.5,240.0
744,503.2,634.8,563.3,620.0
745,405.3,553.8,449.2,0.0
746,398.1,560.0,514.8,380.0
747,645.6,667.8,691.7,740.0
748,399.7,564.4,477.9,400.0
749,477.2,578.3,397.0,300.0
750,459.4,508.7,394.9,340.0
751,496.0,523.0,494.1,380.0
752,536.5,543.1,671.8,580.0
753,494.4,488.1,611.2,700.0
754,398.9,501.9,609.7,340.0
755,455.3,556.5,435.7,640.0
756,547.5,578.9,444.9,300.0
757,436.8,583.2,436.7,360.0
758,421.1,514.5,416.0,0.0
759,664.7,657.7,737.6,980.0
760,531.7,582.9,493.6,300.0
761,405.3,524.2,466.6,480.0
762,520.9,435.9,554.7,580.0
763,422.0,639.7,634.3,900.0
764,486.4,630.2,410.4,520.0
765,617.0,670.0,661.4,860.0
766,397.6,602.1,549.9,360.0
767,492.2,515.5,512.2,600.0
768,550.8,660.2,662.9,480.0
769,538.1,606.2,530.4,580.0
770,535.5,638.9,570.9,800.0
771,564.5,659.7,735.3,840.0
